mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
2;11;10.6;10.7;11.8;14.0;75;90;95;6;25;205;2462;993.2
2;12;2.9;9.9;11.1;12.1;70;83;95;7;28;112;3537;1004.6
2;13;0.0;8.5;11.2;14.0;44;69;88;5;15;125;11860;1017.1
2;14;0.0;7.4;10.2;13.6;45;65;81;4;17;100;12020;1024.6
2;15;0.0;6.6;7.7;9.8;81;89;96;4;14;311;10378;1023.8
2;16;0.2;4.2;5.3;7.0;96;98;99;4;12;332;7364;1022.3
2;17;0.0;3.3;5.6;9.0;96;99;99;4;20;192;7409;1027.7
2;18;0.1;8.1;13.1;15.4;58;72;98;8;36;99;4104;1030.0
2;19;0.6;9.3;10.9;15.4;48;83;91;6;37;88;5901;1024.2
2;20;0.0;10.6;12.9;15.5;44;59;76;8;41;38;12826;1024.5
2;21;0.0;9.8;11.7;13.7;52;68;78;7;24;120;12211;1023.7
2;22;2.1;10.0;12.0;13.9;55;69;81;13;45;204;3075;1012.7
2;23;16.8;9.8;11.7;13.9;69;80;92;23;83;153;1235;1000.8
2;24;0.0;10.1;11.2;13.4;63;73;87;10;24;129;8153;1008.5
2;25;0.4;8.2;10.7;13.8;61;75;84;6;27;119;11593;1010.2
2;26;0.0;7.4;10.3;12.9;58;75;87;7;30;340;6113;1007.8
2;27;2.9;11.9;13.4;14.7;56;67;76;17;43;77;3313;1010.4
2;28;0.3;13.1;14.8;17.0;58;66;79;10;34;77;5819;1016.4
2;29;0.0;14.2;15.2;16.6;57;62;67;26;55;76;6469;1013.0
3;1;2.3;11.7;13.5;15.6;59;71;77;13;51;77;3011;1006.8
3;2;8.1;11.0;11.9;13.3;73;81;87;7;25;154;5950;1009.6
3;3;0.3;11.2;12.7;14.1;63;74;85;8;27;331;8931;1009.0
3;4;0.2;11.0;13.0;15.0;60;74;87;9;32;70;6355;1007.2
3;5;0.0;9.7;12.6;15.8;59;77;88;8;34;93;13682;1011.1
3;6;5.8;10.5;11.8;14.0;59;71;88;12;37;79;4618;1015.0
3;7;0.0;9.5;11.3;13.9;40;60;71;18;46;329;12509;1016.7
3;8;0.4;7.9;9.4;10.6;59;66;74;21;46;76;4399;1016.6
3;9;10.8;9.0;10.6;11.9;63;81;87;11;33;109;1717;1011.3
3;10;10.8;10.2;13.0;16.2;70;81;92;12;56;133;2335;1005.1
3;11;0.1;9.8;10.8;11.7;82;87;91;5;17;329;3715;1005.4
3;12;0.0;9.8;11.5;13.6;79;83;87;5;16;291;14348;1012.1
3;13;0.0;9.2;11.7;15.4;66;78;87;4;14;316;16493;1016.8
3;14;0.0;8.1;11.1;14.6;66;75;82;4;10;289;17019;1018.0
3;15;0.0;8.7;11.0;12.6;64;73;84;4;13;326;8214;1017.7
3;16;0.0;11.1;12.6;15.9;78;84;91;4;15;313;14310;1019.4
3;17;0.0;9.9;12.4;14.6;79;86;90;4;10;254;15971;1020.9
3;18;1.3;10.8;12.3;13.6;77;85;94;4;16;94;7021;1015.2
3;19;0.0;11.8;13.2;16.9;48;71;91;11;33;108;18838;1018.2
3;20;0.0;11.1;12.9;15.8;53;66;78;7;35;105;18480;1022.1
3;21;0.1;11.3;13.4;15.6;57;77;82;6;31;325;12554;1021.2
3;22;0.0;13.4;15.3;19.4;37;62;75;9;33;323;18837;1018.7
3;23;4.1;9.9;14.6;18.7;47;67;80;15;64;113;17655;1009.6
3;24;7.3;6.5;11.3;15.0;33;58;85;22;74;79;20857;1007.2
3;25;0.0;8.0;11.5;14.3;35;57;66;7;21;277;21314;1008.5
3;26;2.7;9.9;12.2;15.0;41;60;80;8;31;143;5531;1003.1
3;27;16.0;11.2;13.8;18.0;66;80;91;14;59;232;2898;995.3
3;28;24.9;10.9;13.1;16.8;66;78;89;16;53;202;2202;1002.4
3;29;0.0;11.9;14.9;17.4;59;76;89;8;24;322;10228;1012.6
3;30;0.0;13.6;17.0;20.6;43;62;76;8;39;187;14533;1009.4
3;31;2.7;14.7;17.5;18.8;49;66;85;15;50;137;4889;1007.8
4;1;29.1;10.3;15.5;19.7;60;76;92;18;61;157;1571;1004.9
4;2;0.0;10.4;13.7;15.7;62;72;83;12;33;108;19804;1012.9
4;3;0.0;12.7;14.2;16.2;47;67;80;10;29;132;8529;1016.0
4;4;0.0;12.0;14.2;16.7;60;73;83;8;32;257;20615;1019.3
4;5;0.0;13.7;15.1;16.6;69;80;86;7;26;310;18384;1022.8
4;6;0.0;13.0;15.5;17.5;70;79;85;6;18;312;21503;1023.0
4;7;0.0;13.3;16.2;18.6;77;83;88;5;13;317;20756;1020.2
4;8;0.0;14.2;17.0;19.4;56;83;91;5;16;95;-;1017.3
4;9;0.0;14.6;17.1;19.1;52;81;94;6;21;313;17823;1015.0
4;10;0.0;16.1;18.9;22.6;40;52;82;34;85;68;10668;1016.7
4;11;0.0;15.0;19.2;23.5;37;45;54;39;82;57;20578;1025.4
4;12;0.0;16.7;19.8;24.9;36;51;79;18;65;73;23922;1027.1
4;13;0.0;17.1;20.6;25.8;34;54;82;8;39;97;24045;1025.3
4;14;0.0;15.8;18.9;22.2;44;71;87;4;11;304;24157;1021.4
4;15;0.0;17.4;20.3;23.6;35;53;75;15;36;154;22828;1010.9
4;16;5.8;8.0;15.2;21.4;39;60;82;31;101;61;10092;1001.4
4;17;0.1;7.5;11.5;14.5;39;55;72;15;46;353;22045;1004.9
4;18;0.0;9.7;12.0;14.8;32;50;61;17;55;38;13328;1010.2
4;19;0.0;9.2;12.1;13.9;25;47;64;16;38;73;24885;1013.5
4;20;0.1;9.9;12.8;16.0;27;44;59;16;62;356;10889;1010.4
4;21;0.3;9.3;12.0;15.4;20;45;70;24;60;335;24034;1013.5
4;22;10.7;7.5;10.0;13.1;34;56;81;40;87;66;11056;1013.1
4;23;3.3;7.5;8.7;9.7;63;71;81;39;72;70;6448;1007.9
4;24;5.8;8.6;9.8;12.4;54;71;87;15;43;87;8282;1006.4
4;25;1.6;7.7;9.7;11.7;57;68;79;23;60;62;13000;1008.6
4;26;0.0;8.4;11.9;14.4;56;69;78;9;28;137;23742;1013.0
4;27;0.0;11.5;14.0;16.1;63;76;85;7;30;316;13806;1017.4
4;28;0.0;12.3;15.2;17.3;-;74;84;5;13;248;22120;1020.1
4;29;0.0;12.8;17.0;21.3;46;71;86;5;18;229;27405;1020.2
4;30;0.0;15.9;20.7;25.4;32;56;85;13;52;75;26769;1016.4
5;1;6.8;15.6;20.3;25.6;28;58;93;14;53;70;14783;1009.2
5;2;12.9;14.2;16.3;19.9;51;73;96;12;73;205;12547;1008.0
5;3;1.9;13.2;14.4;15.3;63;75;92;8;23;322;12333;1010.8
5;4;0.0;13.3;15.7;18.5;66;80;92;6;20;331;18181;1014.8
5;5;0.0;14.0;17.1;19.4;59;72;91;8;23;303;24554;1014.6
5;6;0.0;15.9;18.1;20.2;52;65;79;10;28;266;19954;1013.3
5;7;21.5;14.9;16.5;18.4;65;82;96;8;44;279;5438;1013.2
5;8;0.5;14.5;17.4;20.8;57;77;94;17;79;67;18010;1016.0
5;9;0.1;17.1;19.7;22.9;34;48;66;33;73;67;25416;1017.9
5;10;0.0;17.2;20.6;24.6;27;40;68;22;57;66;28153;1018.1
5;11;0.0;17.7;19.6;23.0;33;52;77;8;27;205;26532;1018.0
5;12;0.0;17.9;20.3;22.9;40;52;81;6;23;141;26363;1016.6
5;13;0.1;17.5;19.4;20.8;49;72;89;9;34;46;11818;1014.3
5;14;0.1;17.1;18.9;21.4;52;64;77;14;39;67;15346;1011.3
5;15;5.5;16.7;19.1;21.8;49;65;85;13;29;82;12813;1010.4
5;16;8.9;15.7;18.8;21.5;55;74;96;12;46;239;4260;1006.7
5;17;0.0;15.2;18.1;20.4;52;73;92;10;29;201;26727;1010.2
5;18;0.0;17.3;18.9;20.1;54;69;82;8;18;318;29459;1012.9
5;19;0.0;17.5;19.2;20.8;69;81;90;8;21;307;24175;1011.5
5;20;0.4;17.0;19.8;21.8;68;77;86;6;19;313;22341;1010.0
5;21;11.7;17.9;19.0;21.5;62;83;93;12;38;83;6052;1006.3
5;22;0.5;16.6;18.9;21.2;53;73;87;12;37;208;14110;1011.4
5;23;0.3;15.7;18.7;21.1;55;72;88;9;52;323;28215;1015.5
5;24;0.4;16.2;18.8;21.0;55;69;83;8;20;271;28038;1017.9
5;25;0.0;17.3;20.0;21.8;57;68;79;7;28;271;22793;1015.8
5;26;0.1;18.6;21.2;25.0;40;59;77;12;39;52;23045;1016.7
5;27;0.0;19.0;21.3;23.7;43;65;74;10;28;102;28557;1016.9
5;28;1.6;18.7;20.5;22.5;55;69;79;17;52;75;23577;1014.0
5;29;0.0;18.6;20.3;22.5;49;68;82;16;50;71;27169;1012.8
5;30;26.5;17.1;19.1;22.1;63;78;94;11;45;134;13555;1006.4
5;31;37.3;14.3;18.1;23.2;54;78;93;14;70;250;11553;1003.6
6;1;0.6;14.7;18.1;20.4;64;74;89;10;22;103;27703;1011.8
6;2;5.5;16.8;19.9;22.0;58;76;90;10;31;350;23498;1014.4
6;3;0.0;17.2;18.9;20.2;62;77;88;8;22;265;25288;1012.7
6;4;0.0;19.0;20.5;22.1;68;76;84;8;20;291;18267;1013.8
6;5;0.0;18.8;21.3;22.8;65;76;84;7;14;308;27502;1015.0
6;6;0.0;19.9;22.3;24.3;63;75;83;7;14;323;30110;1016.6
6;7;0.0;20.8;23.5;26.0;51;73;81;6;13;316;28968;1015.5
6;8;0.0;22.0;24.4;26.6;58;73;82;6;14;341;19041;1011.9
6;9;0.0;23.5;25.8;28.6;50;62;79;9;33;349;19598;1006.7
6;10;48.2;16.9;22.8;25.3;53;76;96;14;76;312;21987;1003.3
6;11;33.7;16.4;20.4;22.9;63;73;92;22;59;72;9025;1008.3
6;12;0.1;17.2;19.5;22.1;57;65;77;35;63;75;21001;1011.3
6;13;3.8;15.3;17.9;19.7;51;64;80;29;56;91;18707;1014.1
6;14;0.0;16.0;19.8;23.4;40;54;67;8;30;82;27702;1016.0
6;15;0.0;18.6;21.4;23.0;54;66;81;11;24;276;24964;1011.7
6;16;0.0;20.5;22.8;25.5;38;66;85;12;32;250;27299;1010.6
6;17;0.0;20.1;23.3;25.9;48;61;75;6;15;321;30395;1015.1
6;18;0.0;21.1;24.1;26.6;51;66;81;6;13;311;29510;1016.9
6;19;0.0;22.4;25.1;27.0;52;69;77;9;26;331;26338;1015.9
6;20;0.0;23.4;25.5;27.2;57;74;89;6;17;308;22104;1017.3
6;21;0.1;23.8;27.0;33.8;28;64;88;8;41;282;8471;1013.0
6;22;0.0;24.2;25.4;26.9;45;68;81;10;29;266;30401;1008.7
6;23;0.0;24.1;26.1;28.1;36;46;67;33;76;74;24584;1009.3
6;24;0.0;22.8;24.9;27.6;43;51;58;53;98;50;17913;1010.1
6;25;0.3;22.3;24.4;27.6;50;59;69;28;75;61;16298;1010.9
6;26;2.3;20.0;22.3;24.0;65;77;86;9;31;93;22729;1010.3
6;27;0.0;21.1;23.6;27.7;45;73;84;6;19;279;24755;1010.4
6;28;0.0;22.3;25.1;28.1;57;73;88;6;12;290;29722;1014.8
6;29;0.0;24.1;27.1;29.3;47;71;84;5;18;1;25583;1015.1
6;30;0.0;25.1;27.5;30.0;45;64;82;12;35;263;26559;1009.7
7;1;0.5;20.7;25.2;28.3;55;69;83;18;73;315;21393;1008.7
NOTA BENE: l'utilizzo dei dati e delle informazioni disponibili in questa pagina web e relative sottopagine e' soggetto alle condizioni e limitazioni descritte nelle note legali, che l'utente implicitamente accetta
* dati dalle 00 alle 24 UTC (ora di Greenwich): per ottenere quella locale bisogna aggiungere 1 o 2 ore rispettivamente nel caso in cui sia in vigore l'ora solare o quella legale
ARPA FVG - OSMER: pagina generata il 02-07-2024 alle 16:33
