mese;giorno;ora UTC*;Pioggia mm;Temp. gradi C;Umidita' %;Vento med km/h;Direzione Vento gradi N;Vento max km/h;Direzione Vento max gradi N;Radiaz. KJ/m2;Pressione hPa;Bagnatura Fogliare min.
1;3;10.00;0.0;11.9;99;3;271;5;288;-;-;-
1;3;11.00;0.0;12.0;99;2;274;6;279;-;-;-
1;3;12.00;0.0;11.9;99;3;270;5;254;-;-;-
1;3;13.00;0.0;11.9;98;3;354;4;336;-;-;-
1;3;14.00;0.0;12.5;97;2;192;4;312;-;-;-
1;3;15.00;0.0;12.3;98;2;306;5;304;-;-;-
1;3;16.00;0.0;12.0;98;3;349;8;307;-;-;-
1;3;17.00;0.0;11.9;99;3;294;7;302;-;-;-
1;3;18.00;0.0;11.9;99;3;330;5;284;-;-;-
1;3;19.00;0.0;11.9;99;2;327;6;337;-;-;-
1;3;20.00;0.0;11.8;99;3;296;6;296;-;-;-
1;3;21.00;0.0;11.8;99;3;268;6;333;-;-;-
1;3;22.00;0.0;11.9;99;3;283;5;273;-;-;-
1;3;23.00;0.0;11.9;99;2;240;4;270;-;-;-
1;3;24.00;0.0;12.0;99;1;86;4;79;-;-;-
1;4;1.00;0.0;11.8;95;4;74;9;74;-;-;-
1;4;2.00;0.0;11.7;95;2;352;5;64;-;-;-
1;4;3.00;0.0;11.5;96;2;113;6;95;-;-;-
1;4;4.00;0.0;11.3;96;3;8;6;0;-;-;-
1;4;5.00;0.0;11.5;97;3;82;8;57;-;-;-
1;4;6.00;0.0;11.7;87;5;99;14;90;-;-;-
1;4;7.00;0.0;11.6;84;6;135;13;112;-;-;-
1;4;8.00;0.0;11.7;86;5;174;10;86;-;-;-
1;4;9.00;0.0;12.0;91;3;242;8;241;-;-;-
1;4;10.00;0.0;12.0;95;5;239;8;228;-;-;-
1;4;11.00;0.0;12.4;91;4;275;8;278;-;-;-
1;4;12.00;0.0;13.0;88;3;313;6;314;-;-;-
1;4;13.00;0.0;12.6;89;4;268;7;262;-;-;-
1;4;14.00;0.0;12.1;92;4;326;8;272;-;-;-
1;4;15.00;0.0;12.1;93;3;303;5;305;-;-;-
1;4;16.00;0.0;11.8;91;4;270;9;294;-;-;-
1;4;17.00;0.0;11.7;90;4;275;7;266;-;-;-
1;4;18.00;0.0;11.6;91;4;272;8;295;-;-;-
1;4;19.00;0.0;11.6;91;7;246;12;260;-;-;-
1;4;20.00;0.0;11.5;92;6;227;10;256;-;-;-
1;4;21.00;0.0;11.4;94;5;238;9;249;-;-;-
1;4;22.00;0.0;11.2;92;6;170;12;189;-;-;-
1;4;23.00;0.0;11.1;92;5;152;12;173;-;-;-
1;4;24.00;0.0;11.2;92;4;178;8;165;-;-;-
1;5;1.00;0.0;11.2;93;5;158;12;193;-;-;-
1;5;2.00;0.0;11.2;90;5;149;9;157;-;-;-
1;5;3.00;0.0;11.2;91;4;183;11;159;-;-;-
1;5;4.00;0.0;11.1;88;8;236;19;229;-;-;-
1;5;5.00;0.0;11.1;87;8;214;17;237;-;-;-
1;5;6.00;0.0;10.8;88;5;149;13;194;-;-;-
1;5;7.00;0.0;10.8;87;6;152;12;176;-;-;-
1;5;8.00;0.0;10.7;88;5;152;11;160;-;-;-
1;5;9.00;0.0;10.5;91;7;127;14;103;-;-;-
1;5;10.00;0.0;10.7;90;6;150;15;111;-;-;-
1;5;11.00;0.0;10.8;88;5;177;15;158;-;-;-
1;5;12.00;0.0;10.8;90;6;162;12;151;-;-;-
1;5;13.00;0.0;10.4;92;6;168;14;195;-;-;-
1;5;14.00;0.0;10.3;93;6;167;13;157;-;-;-
1;5;15.00;0.0;10.1;95;3;195;9;162;-;-;-
1;5;16.00;0.0;10.3;94;3;95;9;89;-;-;-
1;5;17.00;0.0;10.4;92;5;117;9;84;-;-;-
1;5;18.00;0.0;10.7;91;5;101;10;114;-;-;-
1;5;19.00;0.0;10.7;91;4;119;7;103;-;-;-
1;5;20.00;0.0;11.0;89;2;166;5;109;-;-;-
1;5;21.00;0.0;11.1;89;2;354;5;2;-;-;-
1;5;22.00;0.0;11.0;89;3;349;5;1;-;-;-
1;5;23.00;0.0;11.2;88;2;346;3;355;-;-;-
1;5;24.00;0.0;11.0;92;2;206;4;216;-;-;-
1;6;1.00;0.0;11.0;91;2;351;4;351;-;-;-
1;6;2.00;0.0;11.1;91;1;251;3;265;-;-;-
1;6;3.00;0.0;11.1;89;2;134;5;104;-;-;-
1;6;4.00;0.0;11.2;81;4;85;11;79;-;-;-
1;6;5.00;0.0;11.1;81;6;113;14;96;-;-;-
1;6;6.00;0.0;11.1;80;7;97;14;114;-;-;-
1;6;7.00;0.0;11.1;79;8;90;13;91;-;-;-
1;6;8.00;0.0;11.0;80;9;93;16;95;-;-;-
1;6;9.00;0.2;11.0;79;12;86;19;103;-;-;-
1;6;10.00;0.0;11.8;77;9;91;19;68;-;-;-
1;6;11.00;0.0;12.2;74;9;113;16;113;-;-;-
1;6;12.00;0.0;12.5;71;6;108;12;115;-;-;-
1;6;13.00;0.0;12.6;69;6;97;12;95;-;-;-
1;6;14.00;0.0;12.7;70;6;115;11;97;-;-;-
1;6;15.00;0.0;12.8;71;4;116;8;104;-;-;-
1;6;16.00;0.0;12.6;74;3;165;6;168;-;-;-
1;6;17.00;0.0;12.4;79;4;246;9;202;-;-;-
1;6;18.00;0.0;12.3;84;4;270;8;229;-;-;-
1;6;19.00;0.0;12.1;83;3;127;8;235;-;-;-
1;6;20.00;0.0;12.1;81;3;130;6;159;-;-;-
1;6;21.00;0.0;11.9;79;4;120;8;117;-;-;-
1;6;22.00;0.0;11.8;80;4;107;8;100;-;-;-
1;6;23.00;0.0;11.7;79;2;127;6;99;-;-;-
1;6;24.00;0.0;11.5;80;4;130;8;125;-;-;-
1;7;1.00;0.0;11.5;80;5;111;10;114;-;-;-
1;7;2.00;0.0;11.4;81;4;121;9;109;-;-;-
1;7;3.00;0.0;11.2;82;4;169;9;104;-;-;-
1;7;4.00;0.0;11.1;83;4;167;8;170;-;-;-
1;7;5.00;0.0;10.6;86;5;230;9;240;-;-;-
1;7;6.00;0.0;10.6;84;4;253;9;251;-;-;-
1;7;7.00;0.0;10.6;85;2;276;5;247;-;-;-
1;7;8.00;0.0;10.7;83;2;171;4;166;-;-;-
1;7;9.00;0.0;10.8;82;3;219;6;166;-;-;-
1;7;10.00;0.0;10.8;81;4;163;8;181;-;-;-
1;7;11.00;0.0;10.6;81;6;117;12;105;-;-;-
1;7;12.00;0.0;11.0;78;4;154;11;105;-;-;-
1;7;13.00;0.0;11.2;77;3;260;8;295;-;-;-
1;7;14.00;0.0;10.9;80;5;271;9;270;-;-;-
1;7;15.00;0.0;10.6;83;6;240;13;235;-;-;-
1;7;16.00;0.0;10.4;83;6;255;12;238;-;-;-
1;7;17.00;0.0;10.4;80;6;263;12;252;-;-;-
1;7;18.00;0.0;10.4;82;5;253;12;229;-;-;-
1;7;19.00;0.0;10.1;82;5;183;9;188;-;-;-
1;7;20.00;0.0;10.0;83;5;162;10;193;-;-;-
1;7;21.00;0.0;10.2;82;4;204;10;203;-;-;-
1;7;22.00;0.0;10.0;83;5;173;13;148;-;-;-
1;7;23.00;0.0;10.1;83;4;175;10;159;-;-;-
1;7;24.00;0.0;9.9;83;7;233;15;225;-;-;-
1;8;1.00;0.0;9.7;83;4;263;10;231;-;-;-
1;8;2.00;0.0;9.7;83;3;218;7;248;-;-;-
1;8;3.00;0.0;9.7;84;3;151;9;109;-;-;-
1;8;4.00;0.0;9.7;85;4;124;11;119;-;-;-
1;8;5.00;0.0;9.8;85;4;125;10;113;-;-;-
1;8;6.00;0.0;9.7;87;3;99;6;153;-;-;-
1;8;7.00;0.0;9.8;88;3;310;6;248;-;-;-
1;8;8.00;0.0;10.0;88;3;331;7;327;-;-;-
1;8;9.00;0.0;9.9;89;3;336;7;9;-;-;-
1;8;10.00;0.0;10.3;88;3;95;8;113;-;-;-
1;8;11.00;0.0;10.5;87;3;302;8;272;-;-;-
1;8;12.00;0.0;10.5;87;3;242;8;348;-;-;-
1;8;13.00;0.0;10.5;87;3;321;6;241;-;-;-
1;8;14.00;0.0;10.9;88;3;122;7;93;-;-;-
1;8;15.00;0.0;11.8;88;3;86;7;79;-;-;-
1;8;16.00;0.0;11.0;91;2;46;7;84;-;-;-
1;8;17.00;0.8;12.0;90;3;102;12;110;-;-;-
1;8;18.00;2.0;11.8;90;9;96;16;98;-;-;-
1;8;19.00;1.0;11.9;92;10;96;15;105;-;-;-
1;8;20.00;0.6;12.0;91;9;95;17;84;-;-;-
1;8;21.00;0.2;12.4;87;10;102;19;89;-;-;-
1;8;22.00;0.0;12.7;84;9;102;17;106;-;-;-
1;8;23.00;1.8;12.6;86;7;165;28;133;-;-;-
1;8;24.00;2.6;12.0;90;6;95;19;134;-;-;-
1;9;1.00;0.4;12.0;87;12;111;26;141;-;-;-
1;9;2.00;0.6;11.7;88;7;113;23;150;-;-;-
1;9;3.00;2.0;11.3;90;7;91;26;92;-;-;-
1;9;4.00;2.8;11.7;95;7;82;18;73;-;-;-
1;9;5.00;0.0;12.8;87;10;125;22;105;-;-;-
1;9;6.00;2.0;12.4;89;9;121;32;150;-;-;-
1;9;7.00;0.8;12.7;92;8;106;21;153;-;-;-
1;9;8.00;0.0;13.3;89;9;108;20;144;-;-;-
1;9;9.00;0.2;13.8;88;7;108;13;109;-;-;-
1;9;10.00;0.0;13.9;89;6;235;22;229;-;-;-
1;9;11.00;0.0;13.7;90;5;198;13;194;-;-;-
1;9;12.00;0.0;13.5;90;5;251;18;244;-;-;-
1;9;13.00;0.2;12.7;95;10;246;20;252;-;-;-
1;9;14.00;0.8;12.3;96;5;7;16;275;-;-;-
1;9;15.00;0.0;12.4;94;3;246;8;236;-;-;-
1;9;16.00;0.0;11.7;96;8;315;15;267;-;-;-
1;9;17.00;1.2;9.9;79;18;89;45;105;-;-;-
1;9;18.00;2.2;9.1;80;20;49;42;74;-;-;-
1;9;19.00;0.2;9.3;73;9;80;35;82;-;-;-
1;9;20.00;0.4;8.9;72;9;80;30;28;-;-;-
1;9;21.00;0.0;8.8;69;19;71;36;70;-;-;-
1;9;22.00;0.0;9.3;68;12;357;42;103;-;-;-
1;9;23.00;0.0;9.5;73;8;232;19;0;-;-;-
1;9;24.00;0.2;8.8;80;5;136;14;120;-;-;-
1;10;1.00;0.0;9.2;79;8;10;18;112;-;-;-
1;10;2.00;0.0;9.2;77;7;352;17;317;-;-;-
1;10;3.00;0.0;9.0;81;5;294;15;349;-;-;-
1;10;4.00;0.0;8.9;84;3;79;6;69;-;-;-
1;10;5.00;0.0;8.8;83;5;86;10;74;-;-;-
1;10;6.00;0.0;9.1;83;3;145;8;81;-;-;-
1;10;7.00;0.0;9.0;81;5;99;8;100;-;-;-
1;10;8.00;0.0;9.4;80;5;110;8;106;-;-;-
1;10;9.00;0.0;11.4;74;3;116;6;108;-;-;-
1;10;10.00;0.0;12.2;70;4;141;9;128;-;-;-
1;10;11.00;0.0;-;-;3;-;9;190;-;-;-
1;10;12.00;0.0;11.8;72;-;306;-;281;-;-;-
1;10;13.00;0.0;11.8;75;4;309;9;311;-;-;-
1;10;14.00;0.0;11.9;75;4;301;9;291;-;-;-
1;10;15.00;0.0;12.4;68;4;235;9;299;-;-;-
1;10;16.00;0.0;10.7;78;4;289;7;257;-;-;-
1;10;17.00;0.0;9.6;83;4;87;10;78;-;-;-
1;10;18.00;0.0;9.1;87;5;145;14;148;-;-;-
1;10;19.00;0.0;9.2;82;5;89;13;151;-;-;-
1;10;20.00;0.0;9.0;74;3;149;7;271;-;-;-
1;10;21.00;0.0;10.0;43;4;74;12;63;-;-;-
1;10;22.00;0.0;9.6;35;6;67;17;94;-;-;-
1;10;23.00;0.0;9.5;35;7;91;15;92;-;-;-
1;10;24.00;0.0;9.3;33;5;135;14;85;-;-;-
1;11;1.00;0.0;8.8;35;6;104;12;125;-;-;-
1;11;2.00;0.0;8.0;40;5;147;16;153;-;-;-
1;11;3.00;0.0;7.5;47;4;96;9;92;-;-;-
1;11;4.00;0.0;6.7;55;5;91;11;99;-;-;-
1;11;5.00;0.0;6.9;57;7;92;12;102;-;-;-
1;11;6.00;0.0;7.4;54;5;107;9;106;-;-;-
1;11;7.00;0.0;8.0;49;5;96;10;106;-;-;-
1;11;8.00;0.0;9.6;42;6;118;10;101;-;-;-
1;11;9.00;0.0;11.4;37;3;162;9;166;-;-;-
1;11;10.00;0.0;12.0;31;5;170;12;137;-;-;-
1;11;11.00;0.0;11.5;51;4;315;10;327;-;-;-
1;11;12.00;0.0;11.4;44;4;318;10;324;-;-;-
1;11;13.00;0.0;12.0;42;3;292;5;290;-;-;-
1;11;14.00;0.0;12.1;35;3;345;6;317;-;-;-
1;11;15.00;0.0;11.7;39;3;313;5;309;-;-;-
1;11;16.00;0.0;10.4;47;3;93;8;81;-;-;-
1;11;17.00;0.0;9.6;54;5;91;8;93;-;-;-
1;11;18.00;0.0;9.2;58;5;81;10;108;-;-;-
1;11;19.00;0.0;9.4;50;4;131;9;121;-;-;-
1;11;20.00;0.0;8.7;50;4;89;10;82;-;-;-
1;11;21.00;0.0;8.9;52;6;108;11;119;-;-;-
1;11;22.00;0.0;8.6;54;3;173;9;104;-;-;-
1;11;23.00;0.0;8.9;52;4;95;8;90;-;-;-
1;11;24.00;0.0;9.1;55;3;29;6;103;-;-;-
1;12;1.00;0.0;9.0;60;6;155;17;189;-;-;-
1;12;2.00;0.0;9.1;55;4;165;11;194;-;-;-
1;12;3.00;0.0;9.1;60;5;100;17;9;-;-;-
1;12;4.00;0.0;10.4;48;7;130;16;109;-;-;-
1;12;5.00;0.0;11.3;50;10;96;27;100;-;-;-
1;12;6.00;0.0;10.5;55;19;92;30;92;-;-;-
1;12;7.00;0.0;10.6;57;8;122;21;83;-;-;-
1;12;8.00;0.0;11.0;58;5;204;12;124;-;-;-
1;12;9.00;0.0;12.5;55;2;209;5;1;-;-;-
1;12;10.00;0.0;12.2;54;3;78;5;67;-;-;-
1;12;11.00;0.0;14.4;46;2;241;5;357;-;-;-
1;12;12.00;0.0;12.5;61;5;305;11;299;-;-;-
1;12;13.00;0.0;12.4;68;5;288;12;269;-;-;-
1;12;14.00;0.0;11.9;71;5;298;11;273;-;-;-
1;12;15.00;0.0;12.4;65;5;261;8;269;-;-;-
1;12;16.00;0.0;11.1;70;3;161;7;272;-;-;-
1;12;17.00;0.0;10.8;69;4;116;9;120;-;-;-
1;12;18.00;0.0;10.2;75;5;100;8;128;-;-;-
1;12;19.00;0.0;9.7;77;3;99;5;90;-;-;-
1;12;20.00;0.0;9.4;77;4;118;10;111;-;-;-
1;12;21.00;0.0;8.9;75;3;87;7;77;-;-;-
1;12;22.00;0.0;8.6;77;4;102;7;84;-;-;-
1;12;23.00;0.0;8.4;77;5;94;9;105;-;-;-
1;12;24.00;0.0;8.6;77;4;93;9;102;-;-;-
1;13;1.00;0.0;8.5;76;5;81;9;115;-;-;-
1;13;2.00;0.0;9.4;71;5;108;9;105;-;-;-
1;13;3.00;0.0;9.3;67;4;82;10;115;-;-;-
1;13;4.00;0.0;9.0;67;4;69;9;68;-;-;-
1;13;5.00;0.0;9.3;70;3;266;8;103;-;-;-
1;13;6.00;0.0;8.9;67;2;102;6;73;-;-;-
1;13;7.00;0.0;9.3;71;3;125;6;88;-;-;-
1;13;8.00;0.0;9.6;65;3;78;6;93;-;-;-
1;13;9.00;0.0;10.1;67;2;342;5;96;-;-;-
1;13;10.00;0.0;10.7;73;2;264;4;286;-;-;-
1;13;11.00;0.0;11.0;70;3;309;5;306;-;-;-
1;13;12.00;0.0;11.5;61;3;315;7;300;-;-;-
1;13;13.00;0.0;11.2;67;3;351;5;285;-;-;-
1;13;14.00;0.0;11.8;58;2;70;6;5;-;-;-
1;13;15.00;0.0;11.5;62;4;166;8;166;-;-;-
1;13;16.00;0.0;11.5;66;3;344;8;330;-;-;-
1;13;17.00;0.0;11.1;67;3;96;7;350;-;-;-
1;13;18.00;0.0;10.8;67;5;124;12;95;-;-;-
1;13;19.00;0.0;11.4;69;6;122;10;117;-;-;-
1;13;20.00;0.0;11.4;74;6;137;9;117;-;-;-
1;13;21.00;0.0;11.3;74;6;113;10;115;-;-;-
1;13;22.00;0.0;11.3;74;5;54;9;118;-;-;-
1;13;23.00;0.0;10.7;74;4;96;6;63;-;-;-
1;13;24.00;0.0;10.7;75;7;98;17;93;-;-;-
1;14;1.00;0.0;11.5;64;14;90;30;100;-;-;-
1;14;2.00;1.0;10.8;65;20;315;48;94;-;-;-
1;14;3.00;0.0;10.2;65;6;85;19;81;-;-;-
1;14;4.00;0.0;9.4;70;7;78;22;54;-;-;-
1;14;5.00;0.0;9.1;71;8;78;17;60;-;-;-
1;14;6.00;0.0;9.1;69;6;137;18;99;-;-;-
1;14;7.00;0.0;9.4;66;7;179;16;142;-;-;-
1;14;8.00;0.0;10.4;62;5;91;12;93;-;-;-
1;14;9.00;0.0;12.1;58;4;194;13;88;-;-;-
1;14;10.00;0.0;11.7;60;3;323;5;306;-;-;-
1;14;11.00;0.0;13.0;57;4;301;8;3;-;-;-
1;14;12.00;0.0;13.9;45;4;270;8;272;-;-;-
1;14;13.00;0.0;13.8;48;5;270;9;270;-;-;-
1;14;14.00;0.0;12.4;67;4;279;11;273;-;-;-
1;14;15.00;0.0;11.7;76;3;345;8;272;-;-;-
1;14;16.00;0.0;11.2;78;3;286;8;247;-;-;-
1;14;17.00;0.0;10.5;75;3;87;7;80;-;-;-
1;14;18.00;0.0;10.1;75;4;80;6;72;-;-;-
1;14;19.00;0.0;9.5;76;2;122;5;77;-;-;-
1;14;20.00;0.0;9.0;74;3;147;7;75;-;-;-
1;14;21.00;0.0;8.7;69;4;106;9;81;-;-;-
1;14;22.00;0.0;8.3;70;3;79;7;77;-;-;-
1;14;23.00;0.0;8.5;72;3;83;6;73;-;-;-
1;14;24.00;0.0;10.1;59;6;127;11;132;-;-;-
1;15;1.00;0.0;9.9;59;9;120;13;115;-;-;-
1;15;2.00;0.0;9.6;61;4;107;12;128;-;-;-
1;15;3.00;0.0;9.7;62;5;106;9;110;-;-;-
1;15;4.00;0.0;10.1;65;6;119;10;122;-;-;-
1;15;5.00;0.0;10.1;66;5;101;12;116;-;-;-
1;15;6.00;0.0;9.9;72;5;105;8;90;-;-;-
1;15;7.00;0.0;10.4;75;5;106;9;89;-;-;-
1;15;8.00;0.0;10.7;77;6;115;12;108;-;-;-
1;15;9.00;0.0;11.1;76;7;113;13;119;-;-;-
1;15;10.00;0.0;11.9;73;5;152;10;96;-;-;-
1;15;11.00;0.0;11.9;73;4;262;10;198;-;-;-
1;15;12.00;0.0;11.5;79;5;214;15;240;-;-;-
1;15;13.00;0.0;11.8;77;5;225;15;194;-;-;-
1;15;14.00;0.2;11.0;81;7;201;15;228;-;-;-
1;15;15.00;0.6;10.7;89;3;178;9;211;-;-;-
1;15;16.00;0.4;10.5;91;3;75;6;84;-;-;-
1;15;17.00;0.6;10.6;91;4;99;8;108;-;-;-
1;15;18.00;2.0;10.5;94;4;67;8;95;-;-;-
1;15;19.00;1.6;10.7;94;5;70;12;83;-;-;-
1;15;20.00;0.6;10.8;93;6;87;13;109;-;-;-
1;15;21.00;1.0;11.3;92;8;92;14;116;-;-;-
1;15;22.00;0.4;12.3;84;9;131;20;167;-;-;-
1;15;23.00;0.6;12.2;84;8;118;20;128;-;-;-
1;15;24.00;0.6;12.0;87;7;125;18;150;-;-;-
1;16;1.00;2.8;11.9;88;6;214;18;169;-;-;-
1;16;2.00;12.4;10.6;97;5;354;21;235;-;-;-
1;16;3.00;2.4;9.5;86;9;85;28;69;-;-;-
1;16;4.00;0.2;7.8;80;21;78;42;70;-;-;-
1;16;5.00;0.0;7.7;77;23;78;39;62;-;-;-
1;16;6.00;0.0;7.8;73;20;85;39;68;-;-;-
1;16;7.00;0.0;7.3;73;23;75;45;59;-;-;-
1;16;8.00;2.8;5.9;85;22;87;42;56;-;-;-
1;16;9.00;1.0;6.1;83;22;87;42;79;-;-;-
1;16;10.00;0.0;6.4;80;18;89;37;74;-;-;-
1;16;11.00;0.0;8.2;82;12;98;23;94;-;-;-
1;16;12.00;0.0;9.1;81;9;114;15;88;-;-;-
1;16;13.00;0.0;11.0;78;6;215;20;167;-;-;-
1;16;14.00;0.0;10.8;75;10;204;25;183;-;-;-
1;16;15.00;0.0;9.7;80;9;159;20;225;-;-;-
1;16;16.00;0.0;9.6;79;5;184;17;186;-;-;-
1;16;17.00;0.0;9.5;79;4;115;8;223;-;-;-
1;16;18.00;0.2;9.6;77;6;121;14;134;-;-;-
1;16;19.00;4.6;8.4;91;9;203;32;273;-;-;-
1;16;20.00;3.4;7.7;92;15;290;39;271;-;-;-
1;16;21.00;3.2;7.2;93;9;253;40;281;-;-;-
1;16;22.00;0.4;7.4;87;8;342;19;316;-;-;-
1;16;23.00;0.0;7.8;83;7;43;17;357;-;-;-
1;16;24.00;0.0;7.5;89;5;130;10;122;-;-;-
1;17;1.00;0.0;8.1;86;6;121;10;102;-;-;-
1;17;2.00;0.0;8.2;88;6;131;10;105;-;-;-
1;17;3.00;0.0;8.1;89;5;145;11;160;-;-;-
1;17;4.00;0.0;8.0;90;6;108;11;110;-;-;-
1;17;5.00;0.0;8.1;90;5;124;8;111;-;-;-
1;17;6.00;0.0;8.4;88;6;98;10;93;-;-;-
1;17;7.00;0.0;8.2;88;5;103;10;117;-;-;-
1;17;8.00;0.0;8.4;84;6;113;13;118;-;-;-
1;17;9.00;0.0;9.5;78;6;117;13;81;-;-;-
1;17;10.00;0.0;10.1;76;4;89;9;108;-;-;-
1;17;11.00;0.6;9.4;80;5;129;14;105;-;-;-
1;17;12.00;0.4;8.4;88;6;116;13;146;-;-;-
1;17;13.00;3.8;6.8;91;8;113;18;135;-;-;-
1;17;14.00;1.6;6.3;84;7;92;21;69;-;-;-
1;17;15.00;0.0;7.4;79;15;73;36;95;-;-;-
1;17;16.00;0.0;6.9;85;21;71;39;72;-;-;-
1;17;17.00;0.0;7.4;81;23;72;43;61;-;-;-
1;17;18.00;0.0;7.9;79;15;95;31;76;-;-;-
1;17;19.00;0.4;8.1;86;11;88;24;92;-;-;-
1;17;20.00;0.2;8.7;86;5;151;13;122;-;-;-
1;17;21.00;0.0;8.8;90;4;112;10;114;-;-;-
1;17;22.00;0.0;9.0;92;4;178;12;101;-;-;-
1;17;23.00;0.0;9.2;92;5;225;16;226;-;-;-
1;17;24.00;0.0;8.4;91;11;262;21;279;-;-;-
1;18;1.00;0.0;8.2;89;9;271;17;263;-;-;-
1;18;2.00;0.4;8.0;91;8;335;17;267;-;-;-
1;18;3.00;0.0;8.0;89;4;323;12;330;-;-;-
1;18;4.00;0.0;7.7;89;7;299;16;311;-;-;-
1;18;5.00;0.0;7.6;86;5;341;14;270;-;-;-
1;18;6.00;0.0;7.6;86;3;112;8;114;-;-;-
1;18;7.00;0.2;7.6;90;4;121;9;156;-;-;-
1;18;8.00;0.0;8.3;86;5;167;13;180;-;-;-
1;18;9.00;0.0;8.5;84;8;123;17;165;-;-;-
1;18;10.00;0.0;9.2;80;6;166;16;153;-;-;-
1;18;11.00;0.0;9.7;79;3;202;11;220;-;-;-
1;18;12.00;3.0;7.8;87;6;249;19;253;-;-;-
1;18;13.00;0.6;8.6;87;3;215;12;213;-;-;-
1;18;14.00;0.0;8.6;83;9;231;20;238;-;-;-
1;18;15.00;0.0;8.4;82;5;86;12;120;-;-;-
1;18;16.00;0.0;8.0;81;8;112;17;104;-;-;-
1;18;17.00;0.0;7.6;82;8;104;17;96;-;-;-
1;18;18.00;0.0;7.7;81;8;103;15;98;-;-;-
1;18;19.00;0.0;7.5;80;8;96;13;90;-;-;-
1;18;20.00;0.0;7.6;78;7;99;16;76;-;-;-
1;18;21.00;0.0;7.6;77;11;99;21;87;-;-;-
